DateOccured,Crime
01/01/1985 00:01,179999
01/01/1999 00:01,172100
01/01/1999 09:00,172100
01/01/2002 10:00,115400
01/01/2005 07:00,172100
01/01/2006 14:47,172300
01/01/2007 00:01,171200
01/01/2008 00:01,67501
01/01/2008 00:01,179200
01/02/2008 12:00,65701
01/15/1991 10:54,115400
01/16/2008 17:58,95100
01/19/2008 00:01,51322
01/19/2008 00:01,51312
01/19/2008 00:01,51322
01/23/2008 10:00,67701
01/24/2007 07:00,111200
01/25/2008 13:30,65701
02/01/2008 12:00,53212
02/03/2008 09:30,171200
02/06/2008 23:00,65701
02/15/2008 09:00,142320
02/15/2008 11:00,69702
02/22/2008 10:00,111110
02/23/2008 18:00,172100
02/28/2007 16:00,72113
02/29/2008 08:00,67701
03/01/2008 02:30,69702
03/01/2008 04:00,65701
03/03/2008 12:00,67701
03/04/2008 10:00,65701
03/08/2008 13:00,92000
03/10/2008 13:21,121000
03/11/2008 14:22,266999
03/15/2008 07:00,69702
03/15/2008 14:00,67601
03/15/2008 14:00,67701
03/21/2008 22:54,71013
03/26/2008 10:00,115400
03/27/2008 23:00,52230
03/27/2008 23:00,142320
03/28/2008 12:00,51312
03/28/2008 12:00,51322
04/01/2007 08:00,115400
04/03/2008 10:00,65701
04/03/2008 15:00,43026
04/05/2005 10:00,115400
04/08/2008 08:00,101000
04/09/2008 09:00,65701
04/12/2008 08:00,111200
04/15/2008 08:00,51112
04/17/2008 08:00,71013
04/19/2008 18:00,51322
04/20/2000 20:00,21000
04/21/2008 15:32,103000
04/21/2008 17:30,43024
04/22/2008 08:29,103000
04/22/2008 10:00,115400
04/23/2008 06:00,67701
04/25/2008 08:00,115400
04/25/2008 09:13,71013
04/25/2008 09:13,117000
04/28/2008 10:00,264100
04/29/2008 11:00,67701
05/01/2007 08:00,91123
05/01/2008 10:00,121000
05/01/2008 10:00,264999
05/01/2008 10:00,264100
05/01/2008 10:00,264100
05/01/2008 12:00,71013
05/01/2008 23:00,142320
05/02/2008 05:30,65701
05/04/2008 03:30,71013
05/05/2008 18:00,264100
05/07/2008 09:00,71013
05/07/2008 20:00,65701
05/08/2008 10:29,242000
05/08/2008 23:00,71013
05/10/2008 11:20,64701
05/10/2008 15:33,67601
05/12/2008 11:00,67701
05/12/2008 14:00,69702
05/13/2008 08:00,65701
05/13/2008 10:00,264100
05/13/2008 17:13,101000
05/15/2008 12:00,142320
05/16/2008 19:05,69702
05/18/2008 17:30,266999
05/19/2008 10:00,264100
05/19/2008 10:00,44023
05/22/2008 00:01,65701
05/22/2008 20:00,67701
05/22/2008 21:40,112010
05/22/2008 23:20,266999
05/23/2008 00:01,103000
05/26/2008 07:00,69602
05/26/2008 07:00,69702
05/27/2008 11:28,103000
05/27/2008 16:00,65701
