DateOccured,Crime
01/01/2001 16:00,177000
01/01/2002 00:01,172300
01/01/2002 15:00,115400
01/01/2008 12:00,115100
01/01/2008 23:00,65701
01/05/2008 13:00,65701
01/08/2008 16:00,111110
01/09/2008 16:00,21000
01/11/2008 07:35,83000
01/13/2006 13:00,67701
01/15/2008 09:00,51312
01/15/2008 09:00,65701
01/15/2008 09:00,63701
01/15/2008 22:30,64701
01/15/2008 22:30,63701
01/16/2008 20:30,42015
01/17/2008 10:00,115100
01/18/2008 00:01,65701
01/19/2008 15:00,67601
01/24/2008 10:00,69602
01/25/2008 04:40,43012
01/28/2008 08:00,71013
01/28/2008 12:00,67701
02/01/2008 13:25,115200
02/01/2008 15:00,51330
02/01/2008 19:00,69702
02/01/2008 19:00,69701
02/01/2008 22:30,171300
02/05/2008 08:00,67601
02/05/2008 08:00,64601
02/09/2008 13:00,71030
02/09/2008 13:00,71013
02/10/2008 17:00,65701
02/12/2008 08:00,69602
02/13/2008 13:00,264100
02/14/2003 08:00,65701
02/15/2008 09:00,69602
02/15/2008 18:00,67701
02/23/2008 12:45,63711
02/23/2008 12:45,67711
02/25/2008 09:30,71030
02/25/2008 09:30,71013
02/26/2008 09:00,69602
02/26/2008 09:00,64601
02/27/2008 16:00,51312
02/27/2008 22:40,71013
02/29/2008 14:30,91114
03/01/1997 12:00,115400
03/01/2008 14:00,65701
03/05/2008 10:00,115400
03/05/2008 11:00,67700
03/05/2008 12:10,103000
03/05/2008 18:00,64701
03/06/2008 06:00,51122
03/07/2008 08:00,112010
03/09/2008 07:00,115400
03/09/2008 19:00,71030
03/10/2008 11:00,67701
03/12/2008 13:00,72113
03/12/2008 15:00,51312
03/13/2008 22:00,23000
03/15/2008 08:00,65701
03/15/2008 13:00,117000
03/16/2008 11:00,92000
03/17/2008 08:00,115400
03/20/2008 09:18,69702
03/20/2008 15:00,65701
03/20/2008 17:00,117000
03/21/2008 02:00,64601
03/21/2008 02:00,67601
03/22/2008 10:37,67701
03/22/2008 11:10,69702
03/23/2008 12:00,65701
03/25/2008 12:00,67701
03/26/2008 08:00,115400
03/27/2008 00:01,71013
03/28/2008 17:00,204100
03/28/2008 17:21,41011
03/30/2008 12:00,67701
03/30/2008 16:00,65701
04/01/2008 08:00,67601
04/01/2008 08:00,67601
04/01/2008 15:00,51122
04/01/2008 16:00,65701
04/01/2008 16:00,65701
04/02/2003 00:01,115400
04/02/2008 03:17,69702
04/02/2008 08:00,67701
04/03/2008 07:00,51112
04/03/2008 07:00,51122
04/03/2008 08:00,111110
04/03/2008 09:00,71013
04/03/2008 16:00,264100
04/03/2008 21:57,266999
04/04/2008 08:38,51112
04/04/2008 10:00,67701
04/05/2008 09:00,65701
04/06/2008 08:00,261200
04/06/2008 12:00,67601
04/06/2008 21:00,44013
04/06/2008 21:00,91113
04/07/2007 10:00,115400
04/07/2008 10:00,65701
04/07/2008 10:00,69602
04/07/2008 18:00,67701
04/07/2008 22:55,69702
04/08/2008 00:01,51122
04/08/2008 09:00,65701
04/08/2008 10:00,115100
04/08/2008 12:00,115400
04/08/2008 17:00,65701
04/08/2008 20:25,101000
04/09/2008 12:00,72113
04/09/2008 12:00,71013
04/09/2008 14:00,52322
04/09/2008 15:30,69702
04/09/2008 23:30,65701
04/10/2008 15:10,69702
04/10/2008 16:00,67601
04/11/2008 17:09,67701
04/11/2008 19:00,67701
04/11/2008 23:45,64601
04/13/2008 07:30,67601
04/13/2008 07:30,65701
04/13/2008 07:30,67601
04/13/2008 16:03,71030
04/13/2008 16:03,71013
04/13/2008 19:00,266999
04/13/2008 19:46,67701
04/13/2008 22:45,175300
04/14/2008 00:01,67701
04/14/2008 00:10,43024
04/14/2008 08:00,115400
04/14/2008 13:00,51112
04/14/2008 13:00,51312
04/14/2008 14:55,67701
04/14/2008 18:00,53322
04/15/2008 00:01,264100
04/15/2008 09:00,67701
04/15/2008 09:00,69702
04/15/2008 12:00,51312
04/15/2008 12:00,51312
04/15/2008 13:50,65701
04/15/2008 14:00,69702
04/15/2008 18:00,32421
04/16/2008 09:00,67701
04/16/2008 17:00,51322
04/16/2008 18:30,71040
04/16/2008 18:30,64601
04/17/2008 06:00,115400
04/17/2008 20:00,67701
04/18/2008 07:00,51312
04/18/2008 08:00,67701
04/18/2008 09:00,65701
04/18/2008 16:37,69702
04/18/2008 17:20,51312
04/18/2008 17:20,51222
04/18/2008 18:15,266999
04/19/2008 07:00,51312
04/19/2008 12:00,51112
04/19/2008 15:00,51112
04/21/2008 03:59,266999
04/21/2008 07:00,65701
04/21/2008 08:00,69702
04/21/2008 14:25,51322
04/21/2008 16:00,67701
04/21/2008 20:10,21000
04/22/2008 12:30,264100
04/22/2008 17:00,69602
04/23/2008 00:30,51321
04/23/2008 00:30,51122
04/23/2008 06:30,69702
04/23/2008 09:58,266999
04/23/2008 12:00,65701
04/23/2008 12:00,67701
04/23/2008 14:00,51112
04/23/2008 14:00,91123
04/23/2008 14:00,91113
04/23/2008 15:50,69702
04/23/2008 20:00,31311
04/23/2008 20:00,44011
04/23/2008 21:11,41011
04/24/2008 04:30,71013
04/24/2008 08:10,65701
04/24/2008 10:00,69602
04/24/2008 10:00,69602
04/24/2008 15:30,142320
04/24/2008 16:25,69702
04/24/2008 17:00,65701
04/24/2008 17:00,65701
04/24/2008 17:00,117000
04/24/2008 22:00,65701
04/25/2008 08:00,64601
04/25/2008 11:00,69702
04/25/2008 16:30,66701
04/25/2008 16:30,69702
04/25/2008 21:00,67601
04/25/2008 21:00,21000
04/26/2008 00:01,71030
04/26/2008 02:42,44012
04/26/2008 02:42,91113
04/26/2008 07:00,51112
04/26/2008 12:30,71013
04/26/2008 13:00,67601
04/26/2008 15:00,69602
04/26/2008 16:00,51322
04/26/2008 17:00,53322
04/26/2008 17:19,44024
04/26/2008 17:19,44024
04/26/2008 18:00,51230
04/26/2008 18:00,142320
04/26/2008 23:00,71013
04/27/2008 07:30,67701
04/27/2008 09:00,69602
04/27/2008 10:00,69702
04/27/2008 16:00,142320
04/27/2008 16:00,117000
04/27/2008 16:55,44016
