DateOccured,Crime
01/01/1998 01:00,23000
01/01/2005 10:00,115400
01/01/2005 10:00,115400
01/01/2006 08:00,115400
01/01/2008 07:00,121000
01/01/2008 12:00,67701
01/16/2007 10:00,115400
01/20/2007 08:30,65701
01/29/2005 12:00,115400
02/01/2006 10:00,115400
02/01/2007 17:08,115400
02/10/2005 02:00,68701
02/10/2005 02:00,142320
02/15/2008 10:00,115400
02/23/1995 15:24,115400
03/01/2001 10:00,115400
03/01/2008 10:00,64701
03/02/2007 10:00,64601
03/02/2007 10:00,64701
03/07/2007 22:00,71013
03/12/2008 10:00,115100
03/16/2008 19:43,179200
03/17/2008 12:00,65701
03/21/2008 13:00,67601
04/01/2006 10:00,115400
04/03/2008 12:00,91114
04/05/2008 04:00,71013
04/06/2008 10:45,65701
04/07/2008 19:29,151400
04/09/2008 07:00,91124
04/11/2007 13:28,115500
04/20/2008 14:00,51312
05/01/1998 00:01,21000
05/03/2008 10:00,71013
05/09/2006 00:01,263899
05/13/2008 13:48,121000
05/17/2008 13:00,111110
05/21/2008 18:30,21000
05/21/2008 18:30,21000
05/26/2008 12:00,67701
05/29/2008 14:50,115100
06/01/2007 07:00,172100
06/01/2008 16:43,51312
06/04/2008 10:00,115400
06/08/2008 19:45,101000
06/10/2008 00:01,71013
06/10/2008 17:00,71013
06/11/2008 18:40,71013
06/12/2008 15:00,51312
06/13/2008 11:00,53322
06/15/2008 20:21,242000
06/18/2008 14:00,67701
06/20/2008 10:00,69602
06/23/2008 10:00,115400
06/30/2008 20:47,111110
07/01/2000 16:00,115400
07/01/2006 10:00,115400
07/01/2007 17:31,172100
07/01/2008 10:00,115400
07/01/2008 10:05,92000
07/01/2008 13:36,67601
07/09/2008 07:00,65701
07/09/2008 08:00,111110
07/09/2008 10:16,69711
07/09/2008 10:52,122000
07/14/2008 08:00,67601
07/17/2008 16:10,101000
07/20/2006 07:00,111110
07/20/2008 16:49,103000
07/22/2008 17:00,44025
07/23/2008 08:47,101000
07/27/2008 09:00,64701
07/30/2008 00:01,263600
08/01/2005 10:00,65501
08/01/2006 10:00,115400
08/01/2007 08:00,115400
08/01/2007 10:00,172100
08/01/2008 12:00,65701
08/02/2008 15:00,67701
08/03/2008 21:00,44024
08/04/2008 00:01,103000
08/04/2008 07:51,67501
08/08/2008 08:00,51312
08/08/2008 09:00,115400
08/08/2008 13:57,112010
08/09/2008 17:00,69702
08/10/2008 19:55,65701
08/11/2007 10:00,111110
08/11/2008 06:30,142320
08/12/2008 00:01,67701
08/13/2008 18:00,103000
08/14/2008 09:00,51112
08/14/2008 17:36,266999
08/15/2008 10:00,103000
08/15/2008 13:46,101000
08/15/2008 20:00,64701
08/15/2008 23:00,21000
08/15/2008 23:57,171200
08/16/2008 14:00,51312
08/18/2008 15:00,67701
08/19/2008 08:00,115400
08/19/2008 10:00,69702
08/21/2008 12:00,112010
08/22/2008 10:24,69702
08/24/2008 12:00,69702
08/26/2008 00:01,65701
08/26/2008 20:30,65601
08/26/2008 20:30,65701
08/27/2007 17:00,43026
08/27/2007 23:00,71013
08/27/2008 22:30,71013
08/28/2008 10:00,115100
08/29/2008 09:00,69702
08/31/2008 12:00,65701
09/01/1999 01:00,179200
09/01/1999 01:00,21000
09/01/1999 01:00,179200
09/01/2004 10:00,115400
09/01/2008 08:00,91123
09/01/2008 09:36,67601
09/01/2008 12:00,115400
