0,Phase,,First Quarter,Full Moon,Last Quarter,New Moon
1,UCRCrime,DateOccured,,,,
2,Aggravated Assault,2008-01-01,77.0,82.0,65.0,78.0
3,Aggravated Assault,2008-02-01,57.0,36.0,82.0,72.0
4,Aggravated Assault,2008-03-01,83.0,96.0,85.0,89.0
5,Aggravated Assault,2008-04-01,59.0,125.0,108.0,113.0
6,Aggravated Assault,2008-05-01,74.0,123.0,107.0,94.0
7,Aggravated Assault,2008-06-01,94.0,90.0,103.0,97.0
8,Aggravated Assault,2008-07-01,112.0,121.0,95.0,104.0
9,Aggravated Assault,2008-08-01,88.0,105.0,117.0,83.0
10,Aggravated Assault,2008-09-01,90.0,96.0,106.0,38.0
11,Aggravated Assault,2008-10-01,97.0,118.0,78.0,83.0
12,Aggravated Assault,2008-11-01,167.0,52.0,63.0,81.0
13,Aggravated Assault,2008-12-01,101.0,68.0,54.0,58.0
14,Aggravated Assault,2009-01-01,75.0,92.0,72.0,66.0
15,Aggravated Assault,2009-02-01,68.0,75.0,74.0,92.0
16,Aggravated Assault,2009-03-01,86.0,121.0,105.0,131.0
17,Aggravated Assault,2009-04-01,115.0,89.0,90.0,125.0
18,Aggravated Assault,2009-05-01,96.0,104.0,89.0,120.0
19,Aggravated Assault,2009-06-01,80.0,110.0,107.0,98.0
20,Aggravated Assault,2009-07-01,72.0,112.0,97.0,83.0
21,Aggravated Assault,2009-08-01,62.0,122.0,90.0,78.0
22,Aggravated Assault,2009-09-01,115.0,95.0,104.0,91.0
23,Aggravated Assault,2009-10-01,88.0,103.0,66.0,76.0
24,Aggravated Assault,2009-11-01,112.0,87.0,71.0,83.0
25,Aggravated Assault,2009-12-01,60.0,62.0,54.0,48.0
26,Aggravated Assault,2010-01-01,71.0,47.0,66.0,45.0
27,Aggravated Assault,2010-02-01,50.0,51.0,31.0,58.0
28,Aggravated Assault,2010-03-01,95.0,85.0,69.0,97.0
29,Aggravated Assault,2010-04-01,80.0,85.0,84.0,133.0
30,Aggravated Assault,2010-05-01,64.0,84.0,117.0,115.0
31,Aggravated Assault,2010-06-01,80.0,85.0,91.0,114.0
32,Aggravated Assault,2010-07-01,121.0,89.0,91.0,97.0
33,Aggravated Assault,2010-08-01,59.0,104.0,103.0,58.0
34,Aggravated Assault,2010-09-01,77.0,115.0,74.0,78.0
35,Aggravated Assault,2010-10-01,86.0,125.0,72.0,75.0
36,Aggravated Assault,2010-11-01,65.0,73.0,68.0,78.0
37,Aggravated Assault,2010-12-01,51.0,83.0,46.0,68.0
38,Aggravated Assault,2011-01-01,50.0,45.0,53.0,70.0
39,Aggravated Assault,2011-02-01,30.0,69.0,45.0,46.0
40,Aggravated Assault,2011-03-01,60.0,84.0,88.0,84.0
41,Aggravated Assault,2011-04-01,127.0,65.0,89.0,87.0
42,Aggravated Assault,2011-05-01,74.0,79.0,82.0,100.0
43,Aggravated Assault,2011-06-01,106.0,63.0,87.0,96.0
44,Aggravated Assault,2011-07-01,114.0,85.0,63.0,92.0
45,Aggravated Assault,2011-08-01,60.0,82.0,88.0,102.0
